clean_content;polarity
betull kak baca berita klarifikasi guru sd spekulasi ai generative muka anak buat ai terima kasih koreksi ka;neutral
tolong ai generative kek gin diresearch x yg persis ingin ai bros salah tebarin info orang langsung consume info nyebrain misinformation wkwkwkk;negative
generative ai cipta manusia jijik ga nyawa ga usaha dipake ngelucutin kerja kreatif seniman tulis negara inj udh sengsara bikin sengsara;negative
guna jugak eh ai photoshop like im not a pro photoshop manipulator but that ai generative saved me ngl;positive
solusi pulley cerdas pakai ai auto temp hyphen adjust desain ulang pulley cad software simulasi beban dinamis amp friksi ai generative bentuk groove auto grip kombinasi bahan hybrid nylon baja tahan aus;neutral
hmmm mohon maaf lulus tren guna generative ai tau;neutral
kalo orang pakai generative ai bikin foto video code tulis etc ai nya ajar ya;negative
yg sama ai generative editor desainer tool g to ai generative yg kerja ya tool adobe lbh bnyk tanggung desainer adobe g bikin mayoritas desainer;neutral
temen gue dg yg make generative ai ngerjain tugas pop up book;neutral
lu paham gak sih bahas generative ai taun jebot mah emang udah pake ai kali ai luas gak temp hyphen aja problem generative ai sisi baik banget sisi buruk gak padan;negative
ai generative tuh ambil data ga transparan cenderung langgar privasi bias hasil;negative
gantung liat bahas ai generative gua dtg seminar seniman udh ngeluhin kait ai generative kalo lo ngomong ttg dunia sains sehat gua tuju;neutral
ya iya orang takut generative ai yg bebas hukum poin lu bang sok pinter;negative
gua udh cemas bgt dr era generative ai gambar udh ngegusur kerja seni even gua bkn kerja seni tpi indon tuh oportunis gua khawatir bgt kerja seni langsung grafis gus;negative
demam sihat orang kena generative ai;negative
cepat lambat kaya orang udah nggak beda konten generative ai asli;negative
mending ya beb tetep ngedukung training generative ai pake foto orang itu;negative
temp hyphen rispek temen temp hyphen temen ku yg sadar pilih commission ilustrator pake generative ai;negative
so far ai tools that i use for work cuman chatgpt generative ai yg gw pake bikin roadmap planning ajar diskusi windsurf ai temp hyphen powered code editor yg gw pake ngoding jd satset github copilot by ide;neutral
msh gpp sih kalo naikin resolusi as long as generative ai yg bener ngubah gambar;negative
eh udahan pake generative ai nya;negative
assalamualaikum ustaz google veo lancar generative ai video generate dialog tengok certain dialog manusia benar cipta nama prompter hukum dialog ni terima kasih ustaz;neutral
benda ni mcm llm chatgpt deepseek tu sbb citation platform open source whole internet yg takde batas in generative ai this called as hallucination possibility yg jawapan reka due to different multiple sources which lead to biasness amp error;negative
harap abang sudi kaji generative ai stable diffusion model merekacipta illustrasi dataset pelbagai bahagian ya curi guna tenaga dlm hasil token guna hari manu;positive
ni bezakan karakter imej hasil generative ai amp chatbot latih knowledge base susah lha baca;neutral
ramai orang bezakan chatbot dah desediakan skrip had chatbot generative ai sumber pakai rag tu;neutral
gua gak paham temp hyphen ethical budak ai tools bingung generative ai ai as a database paham generative ai problematik karen;neutral
informasi yg didapet google chat gpt mampu generative ai mana yg tahu dasar existing knowledge yg;neutral
google mesin cari chatgpt generative ai tau generative google pake ai gemini gak hasil google gemini google ngasih data olah jd informasi chatgpt ngasih informasi d;neutral
tul make text based generative ai editing compiling ato review tulis bantu ngerangkum poin paragraf ato dar tektok ide aja nyari referensi yaa nggak;positive
emang kalo ambil reference situ langsung tebak contextnya kredibilitas tau referencenya darimana kalo search manual generative ai gak nyantumin hasil searchnya;neutral
nggak telkom sdh papar cctv bas generative ai integrated sarana cegah efektif cctv patroli koneksi command center;positive
generative ai fact checking kocak;negative
