tweets,polarity
seru kah curhat ke chat gpt? (bertanya krna gatau),0
biasanya kalau sekolah internasional semua tendik nya dikasih pengawasan &amp;penyuluhan buat kasih batasan penggunaan ai sampai segimana tp kalau sekolah kurikulum negara kadang gurunya cm mikir cara lolos sertifikasi aja sih ya,0
sedangkan ide manusia terlalu abstrak untuk mengaplikasikan secara etis dan kreatif ide kreator tsb. ai sendiri juga bekerja dengan logika yang dibuat dari kreator ai itu yang dimana oke secara logis matematis sesuai tapi untuk seni sendiri kalo di aplikasikan jadi kosong.,0
beda ai soalnya llm dan generative ai walopun sebenernya proses dibelakang dua jenis ai ini sama sama banyak pro kontra tp orang lebi banyak gasuka sama generative ai,2
gue.. mendingan.. snbp.. 100% tka.. somehow gue udah terlalu capek saingan sm anak ai dan guru gak waras ngasih nilai emang pendidikan sman udah kacau bgt ya kyknya.. padahal sekolah gue termasuk sekolah favorit,0
ai = seni yg kerja mesin database lu cuma kasih perintah doang tod. seni jiplak terus diduitin sudah org awam sok ngerti di edukasi bilangnya kaku lah ntar ketinggalan sama yg pake ai. cem wapres dungu jdi patokan,2
ai emang meresahkan ga menutup kemungkinan juga kedepannya banyak lapangan kerja yang digantikan oleh ai,2
hot take : yang disney lakuin itu the intended purpose nya generative ai ini karena mereka bikin dataset dengan karya mereka sendiri. hanya saja kebanyakan generative ai yang sudah beredar di internet itu sudah di training menggunakan kary,2
ngl chat gpt gw suka ngeyel kalo menurut dia apa yg gw omongin itu salah,1
ngapain di chat gpt kan sandinya ada di narasi au itu itu aku udah jelas kasih hint nya coba kamu baca-baca lagi,2
pantes aja tahun pertama menjelang tahun kedua kerja ngoding kaya masih gampang karena bobot kerja masih hard yg masih yakin bisa nih . sekarang tahun ketiga kerja stress sendiri karena beneran harus bikin sesuatu yg ai ga bisa (sayangnya m,0
chat gpt anda curioso,0
kalian yang komen pengen lawan dia ngapain sih? pembela ai generative tuh gak ada otak apalagi bela gibran udah biarin aja,2
banjir konten hingga kecanduan di media sosial saja sudah cukup membuat susah untuk mengontrol dopamine ini ditambah lagi ai generative yang menyediakan konten apa yang kita inginkan secara instan.,2
waktu sd udh make google smp-sma pake brainly + lulus tanpa un kuliah main tiktokan sambil nyimak temen presentasi tanya jawab pake ai idk apakah nanti di dunia kerja bakal ada teknologi dan perubahan kebijakan yang akan mendukung kebiasaan gen-z begini,0
banyak orang kira chatgpt itu magic tapi kalau lo nanyanya tips jadi kaya ya jawabannya gitu-gitu doang yang bikin ai powerful tuh prompt-nya. lo harus tau cara nanya yang bikin ai mikir keras. bukan cuma tanya tapi ngajak ai buat kerja bareng,0
curhat sama chat gpt se enak itu ternyata,1
dulu kita bangga punya pekerjaan kreatif: nulis gambar ngoding ngajar. sekarang? ai bisa bikin puisi gambar realistis coding otomatis bahkan jadi guru virtual. lalu manusia fungsinya apa?,2
